Namespace(batch_size=256, epoch=60, evaluate=False, log_model_dir='./log', lr=0.01, lr_milestone=[15, 40], num_workers=2, root='./', show_interval=10, snapshot_interval=5, test_interval=2)
[epoch:9, batch:184]	 [loss: 0.026]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:9, batch:194]	 [loss: 0.048]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:9, batch:204]	 [loss: 0.014]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:9, batch:214]	 [loss: 0.019]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:9, batch:224]	 [loss: 0.022]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:9, batch:234]	 [loss: 0.012]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:10, batch:9]	 [loss: 0.010]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:10, batch:19]	 [loss: 0.039]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:10, batch:29]	 [loss: 0.028]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:39]	 [loss: 0.017]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:10, batch:49]	 [loss: 0.017]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:10, batch:59]	 [loss: 0.032]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:69]	 [loss: 0.031]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:79]	 [loss: 0.024]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:89]	 [loss: 0.013]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:99]	 [loss: 0.014]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:10, batch:109]	 [loss: 0.043]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:10, batch:119]	 [loss: 0.019]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:129]	 [loss: 0.038]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:139]	 [loss: 0.073]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:149]	 [loss: 0.021]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:10, batch:159]	 [loss: 0.012]	 [accuracy: 0.996]	 [lr: 0.010000]
